.start,midterm_04,14	     | E	n/a  Altest_05
.data	                 | n/a	n/a
Jupiter int.data 128   | E	00000080
Saturn  int.data 100   | F	00000064
Pluto   str.data 'DOG' | 10	444F4720
.text                  | n/a	n/a
   EXT mars            | n/a	n/a
   Exec.start *        | n/a	n/a
   LW    $1,Jupiter    |S-type	11	C020000E
   MUL   $1,$1,$1      |R-type	12	04248018
   Addi  $1,$1,28      |I-type	13	4424001C
   DIVs  $2,$1,mars    |S-type	14	6C440000   
   Srl   $2,$2,4       |R-type	15	08480802 
   Sw    $2,Saturn     |S-type	16	9C40000F
   Halt  0             |J-type	17	20000000 
.end,midterm_04           | Altest_05  n/a	n/a
